quad	lat	lon	yr	mo	day	time	ship_code	#groups	data type	cruise	station														
7	4220	7045	55	11	13	210	312B	6	3	7766	2	0	1010	5	1010	10	1010	15	1020	20	1020	25	1050		
7	4220	7045	55	11	14	200	312B	6	3	7766	3	0	1000	5	1000	10	1010	15	1020	20	1030	25	1060		
7	4220	7045	55	11	16	200	312B	7	3	7766	5	0	990	5	990	10	990	15	1000	20	1000	25	1010	30	1020
7	4220	7045	55	11	17	200	312B	6	3	7766	6	0	940	5	950	10	970	15	980	20	990	25	1000		
7	4220	7045	55	11	18	200	312B	7	3	7766	7	0	960	5	960	10	960	15	960	20	960	25	960	30	960
7	4220	7045	55	11	19	200	312B	7	3	7766	8	0	860	5	940	10	940	15	960	20	960	25	960	30	960
7	4220	7045	55	11	21	200	312B	6	3	7766	10	0	910	5	920	10	920	15	920	20	920	25	920		
7	4220	7045	55	11	22	200	312B	6	3	7766	11	0	860	5	870	10	870	15	870	20	870	25	870		
7	4220	7045	55	11	23	200	312B	7	3	7766	12	0	920	5	920	10	920	15	920	20	920	25	920	30	920
7	4220	7045	55	11	24	200	312B	7	3	7766	13	0	890	5	890	10	890	15	890	20	890	25	890	30	890
7	4220	7045	55	11	25	200	312B	6	3	7766	14	0	910	5	910	10	920	15	920	20	920	25	920		
7	4220	7045	55	11	26	200	312B	6	3	7766	15	0	860	5	880	10	880	15	880	20	880	25	880		
7	4220	7045	55	11	27	200	312B	6	3	7766	16	0	830	5	830	10	830	15	830	20	830	25	830		
7	4220	7045	55	11	28	200	312B	7	3	7766	17	0	740	5	820	10	880	15	890	20	890	25	890	30	890
7	4220	7045	55	11	29	200	312B	7	3	7766	18	0	840	5	840	10	840	15	840	20	840	25	840	30	840
7	4220	7045	55	11	30	200	312B	5	3	7766	19	0	830	5	830	10	830	15	830	20	830				
7	4220	7045	55	12	1	200	312B	6	3	7767	1	0	830	5	830	10	830	15	830	20	830	25	830		
7	4220	7045	55	12	2	200	312B	7	3	7767	2	0	820	5	820	10	820	15	820	20	820	25	820	30	820
7	4220	7045	55	12	3	200	312B	5	3	7767	3	0	800	5	790	10	790	15	790	20	790				
7	4220	7045	55	12	4	200	312B	6	3	7767	4	0	730	5	730	10	730	15	730	20	730	25	730		
7	4220	7045	55	12	6	200	312B	7	3	7767	6	0	720	5	720	10	720	15	720	20	720	25	720	30	720
7	4220	7045	55	12	7	200	312B	6	3	7767	7	0	670	5	670	10	670	15	670	20	670	25	670		
7	4220	7045	55	12	8	200	312B	6	3	7767	8	0	760	5	760	10	760	15	760	20	760	25	760		
7	4220	7045	55	12	9	200	312B	6	3	7767	9	0	720	5	720	10	720	15	720	20	720	25	740		
7	4220	7045	55	12	10	200	312B	6	3	7767	10	0	670	5	670	10	670	15	670	20	670	25	670		
7	4220	7045	55	12	11	99*	312B	6	3	7767	11	0	700	5	700	10	700	15	700	20	700	25	700		
7	4220	7045	55	12	12	200	312B	7	3	7767	12	0	720	5	720	10	720	15	720	20	720	25	720	30	720
7	4220	7045	55	12	13	200	312B	6	3	7767	13	0	700	5	700	10	710	15	710	20	710	25	710		
7	4220	7045	55	12	14	200	312B	6	3	7767	14	0	980	5	980	10	980	15	980	20	980	25	980		
