1	2.8	2.8	2.8	2.8	2.8	NaN	32.54	NaN
3	3.6	3.6	3.4	3.3	NaN	NaN	32.59	NaN
4	3.3	3.3	3.3	3.3	3.3	3.2	32.56	33.01
5	3.3	NaN	NaN	NaN	NaN	NaN	32.83	NaN
8	2.6	NaN	NaN	NaN	NaN	NaN	32.83	NaN
9	3.6	3.3	3.3	3.3	3.3	NaN	32.62	NaN
10	2.7	2.7	2.5	2.2	2.2	NaN	32.84	NaN
11	3.4	3.4	3.4	3.4	3.4	3.4	32.22	32.73
13	3.4	3.3	3.3	3.3	NaN	NaN	32.48	NaN
14	3.4	3.4	3.4	3.4	NaN	NaN	32.50	NaN
15	4.2	4.1	4.0	4.0	4.0	NaN	32.57	NaN
16	4.3	3.9	3.9	3.9	3.9	NaN	32.61	NaN
18	NaN	NaN	NaN	NaN	NaN	NaN	32.54	NaN
19	4.4	4.4	4.4	4.4	NaN	NaN	32.65	NaN
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	4.4	4.4	4.4	NaN	NaN	NaN	32.63	NaN
22	4.4	4.4	4.4	4.4	4.4	4.4	32.65	NaN
23	4.4	4.4	4.4	4.4	4.4	4.4	32.65	NaN
24	5.6	4.5	4.4	4.4	4.4	4.4	32.62	NaN
26	4.9	4.8	4.8	4.5	4.5	4.4	32.67	NaN
27	4.4	NaN	NaN	NaN	NaN	NaN	32.62	NaN
28	5.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31	5.4	5.0	5.0	4.9	4.9	4.9	32.62	NaN
